activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,1516932,[],CHEMBL833481,Inhibitory concentration against Hsp47 collagen chaperone in turbidity assay,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(C(C[N+](=O)[O-])Sc2ccc(N)cc2)cc1,,,CHEMBL1142712,J. Med. Chem.,2005,"{'bei': '15.03', 'le': '0.30', 'lle': '1.19', 'sei': '5.84'}",CHEMBL195333,,CHEMBL195333,4.58,False,http://www.openphacts.org/units/Nanomolar,393423,=,1,True,=,,IC50,nM,,26600.0,CHEMBL5286,Homo sapiens,Collagen-binding protein 1,9606,,,IC50,uM,UO_0000065,,26.6
,1516933,[],CHEMBL833481,Inhibitory concentration against Hsp47 collagen chaperone in turbidity assay,B,,,BAO_0000190,BAO_0000357,single protein format,Nc1ccc(SC(C[N+](=O)[O-])c2ccc(F)cc2)cc1,,,CHEMBL1142712,J. Med. Chem.,2005,"{'bei': '15.65', 'le': '0.31', 'lle': '1.06', 'sei': '6.62'}",CHEMBL383355,,CHEMBL383355,4.58,False,http://www.openphacts.org/units/Nanomolar,393452,=,1,True,=,,IC50,nM,,26600.0,CHEMBL5286,Homo sapiens,Collagen-binding protein 1,9606,,,IC50,uM,UO_0000065,,26.6
,1516934,[],CHEMBL833481,Inhibitory concentration against Hsp47 collagen chaperone in turbidity assay,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)c1cc(Cl)cc2c1N[S+]([O-])S2,,,CHEMBL1142712,J. Med. Chem.,2005,"{'bei': '20.89', 'le': '0.50', 'lle': '3.29', 'sei': '9.94'}",CHEMBL371508,,CHEMBL371508,5.51,False,http://www.openphacts.org/units/Nanomolar,393479,=,1,True,=,,IC50,nM,,3100.0,CHEMBL5286,Homo sapiens,Collagen-binding protein 1,9606,,,IC50,uM,UO_0000065,,3.1
,1516935,[],CHEMBL833481,Inhibitory concentration against Hsp47 collagen chaperone in turbidity assay,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1cc(C(=O)CSc2nc(O)c(C#N)c(-c3cccs3)n2)ccc1Cl,,,CHEMBL1142712,J. Med. Chem.,2005,"{'bei': '12.94', 'le': '0.27', 'lle': '0.48', 'sei': '5.99'}",CHEMBL195530,,CHEMBL195530,5.20,False,http://www.openphacts.org/units/Nanomolar,393480,=,1,True,=,,IC50,nM,,6300.0,CHEMBL5286,Homo sapiens,Collagen-binding protein 1,9606,,,IC50,uM,UO_0000065,,6.3
